index,open,high,low,close
2018/11/1,6302.4,6337.99,6293.48,6335.36
2018/11/2,6335.36,6379.52,6330.15,6351.1
2018/11/4,6413.23,6464.83,6410.4,6413.12
2018/11/5,6413.23,6464.83,6372.01,6400.96
2018/11/6,6400.96,6454.24,6385.87,6420.95
2018/11/7,6420.95,6537.35,6419.41,6501.65
2018/11/8,6501.74,6511.75,6390.48,6419.5
2018/11/9,6419.5,6433.26,6309.73,6326.2
2018/11/11,6316.01,6332.65,6314.03,6314.2
2018/11/12,6316.01,6384.96,6306.7,6309.96
2018/11/13,6309.96,6329.03,6254.48,6280.74
2018/11/14,6280.74,6294.25,5322,5551.06
2018/11/15,5551.06,5644.33,5202.91,5469.65
2018/11/16,5469.65,5609.35,5441.31,5451.72
2018/11/18,5536.99,5660.36,5519.8,5543.73
2018/11/19,5536.99,5660.36,4693.38,4785.55
2018/11/20,4785.55,4889.44,4051.01,4337.68
2018/11/21,4337.68,4629.38,4189.99,4450.42
2018/11/22,4450.42,4588.89,4363.96,4427.83
2018/11/23,4427.83,4446.19,4093.27,4260.57
2018/11/25,3675.54,4112.93,3675.44,4048.03
2018/11/26,3675.54,4112.93,3522.58,3663.84
2018/11/27,3663.84,3797.67,3563.47,3767.37
2018/11/28,3767.37,4357.07,3743.06,4221.02
2018/11/29,4221.03,4403.69,4089.31,4183.59
2018/11/30,4183.59,4297.75,3867.6,3930.38
2018/12/2,4104.33,4185.14,4080.61,4148.09
2018/12/3,4104.33,4185.14,3746.75,3870.97
2018/12/4,3870.97,4032,3735.03,3898.03
2018/12/5,3898.03,3913.71,3668.09,3723.53
2018/12/6,3723.53,3842.01,3548.89,3596.41
2018/12/7,3596.41,3620.77,3211.48,3388.91
2018/12/9,3557.51,3589.56,3522.74,3526.26
2018/12/10,3557.51,3591.36,3356.63,3400.92
2018/12/11,3400.92,3426.11,3294.25,3373.78
2018/12/12,3373.78,3485.58,3326.5,3440.18
2018/12/13,3440.18,3443.25,3226.33,3254.81
2018/12/14,3254.82,3293.11,3136.04,3156.89
2018/12/16,3199.99,3237.42,3197.91,3203.6
2018/12/17,3199.99,3583.23,3183.67,3493.65
2018/12/18,3493.65,3569.78,3435.13,3535.18
2018/12/19,3535.18,3921.32,3522.88,3668.85
2018/12/20,3669.34,4170.95,3662.32,3993.58
2018/12/21,3993.58,4158.76,3773.38,3848.6
2018/12/23,3959.64,3993.37,3929.46,3961.415
2018/12/24,3959.64,4234.21,3910.43,4072.32
2018/12/25,4064.81,4075.35,3677.44,3876.395
2018/12/26,3789.34,3862.86,3685.29,3774.075
2018/12/27,3775.48,3840.94,3568.88,3585.43
2018/12/28,3585.43,3956.71,3567.19,3892.14
2018/12/30,3817.79,3848.93,3759.94,3821.31
2018/12/31,3817.79,3848.93,3637.73,3674.18
2019/1/1,3674.18,3745.6,3645.66,3720.6
2019/1/2,3720.6,3899.58,3708.67,3884.98
2019/1/3,3884.98,3916.72,3762.38,3794.92
2019/1/4,3794.92,3849.67,3731.55,3833.53
2019/1/6,4060.4,4077.21,4022.66,4031.29
2019/1/7,4060.4,4077.21,3969.85,4005.34
2019/1/8,4005.34,4109.33,3951.74,4000.42
2019/1/9,4000.42,4041.45,3966.42,4003.99
2019/1/10,4003.99,4034.82,3574.62,3804.72
2019/1/11,3630.86,3695.22,3587.52,3641.37
2019/1/13,3518.43,3532.73,3486.56,3516.03
2019/1/14,3518.43,3709.91,3486.56,3663.59
2019/1/15,3663.59,3685.11,3549.63,3568.48
2019/1/16,3568.48,3667.83,3567.96,3617.895
2019/1/17,3603.48,3658.59,3545.44,3602.015
2019/1/18,3624.84,3649.82,3579.52,3614.67
2019/1/20,3520.82,3545.17,3514.81,3538.45
2019/1/21,3520.82,3568.34,3507.13,3521.04
2019/1/22,3521.04,3611.22,3436.4,3574.52
2019/1/23,3574.52,3612.37,3522.22,3544.51
2019/1/24,3544.51,3595.2,3529.18,3570.93
2019/1/25,3570.93,3578.1,3512.82,3558.51
2019/1/27,3549.2,3552.36,3539.09,3541.27
2019/1/28,3549.2,3552.36,3375.7,3464.03
2019/1/29,3417.04,3440.72,3343.77,3401.14
2019/1/30,3401.14,3458.86,3372.96,3432.64
2019/1/31,3432.64,3472.07,3396.17,3417.04
2019/2/1,3417.04,3456.01,3374.67,3448.51
2019/2/3,3418.08,3430,3386.67,3395.68
2019/2/4,3418.08,3435.91,3386.67,3417.03
2019/2/5,3417.28,3430.34,3398.45,3422.6
2019/2/6,3422.6,3443.33,3338.58,3366.32
2019/2/7,3366.32,3381.62,3353,3358.91
2019/2/8,3358.71,3707.33,3343.27,3594.91
2019/2/10,3606.09,3612.76,3600.03,3605.5
2019/2/11,3606.09,3653.65,3578.58,3591.59
2019/2/12,3591.59,3618.2,3550.83,3576.31
2019/2/13,3576.31,3628.96,3561.4,3571.42
2019/2/14,3571.63,3589.52,3537.09,3570.02
2019/2/15,3569.94,3614.87,3547.14,3564.79
2019/2/17,3574.98,3603.46,3565.6,3585.56
2019/2/18,3574.98,3916.08,3565.6,3852.25
2019/2/19,3852.25,3970.22,3830.26,3887.89
2019/2/20,3887.89,3962.16,3865.94,3912.98
2019/2/21,3913.2,3986.41,3868.03,3897.72
2019/2/22,3897.72,3955.89,3885.69,3941.75
2019/2/24,3761,3805.67,3753.38,3787.61
2019/2/25,3761,3859.93,3728.84,3805.67
2019/2/26,3805.67,3830.6,3765.89,3790.19
2019/2/27,3790.19,3823.43,3659.76,3749.38
2019/2/28,3749.17,3884,3742.36,3802.53
2019/3/1,3802.53,3843.26,3783.01,3828.22
2019/3/3,3792.1,3795.11,3786.61,3788.98
2019/3/4,3792.1,3805.17,3671.32,3699.76
2019/3/5,3700.02,3871.33,3682.26,3833.97
2019/3/6,3833.97,3892.22,3810.21,3845.71
2019/3/7,3845.95,3889.55,3830.24,3871.42
2019/3/8,3871.42,3910.41,3848.8,3868.84
2019/3/10,3885.47,3898.3,3879.36,3896.7
2019/3/11,3885.47,3912.65,3816.5,3847.91
2019/3/12,3848.21,3876.23,3798.84,3865.41
2019/3/13,3865.41,3872.27,3826.48,3852.32
2019/3/14,3852.32,3901.1,3787.91,3851.57
2019/3/15,3851.16,3908.28,3846.2,3897.41
2019/3/17,3964.18,3975.74,3964.01,3975.48
2019/3/18,3964.18,4015.31,3935.17,3971.19
2019/3/19,3971.19,4009.6,3949.84,3991.47
2019/3/20,3991.47,4018.69,3964.37,4009.47
2019/3/21,4009.47,4056.22,3920.1,3973.24
2019/3/22,3973.24,3999.34,3960.7,3977.74
2019/3/24,3966.46,3967.97,3944.94,3958.02
2019/3/25,3966.46,3978.79,3859.15,3887.56
2019/3/26,3887.56,3922.02,3881.27,3912.6
2019/3/27,3912.6,4032.44,3908.46,4008.98
2019/3/28,4008.98,4036.61,3993.97,4010.76
2019/3/29,4010.76,4100.99,3999.8,4072.16
2019/3/31,4088.39,4097.48,4084.87,4092.97
2019/4/1,4088.39,4148.24,4052.2,4126.69
2019/4/2,4126.91,5078.52,4125.9,4802.47
2019/4/3,4802.47,5316.24,4783.12,5296
2019/4/4,5296,5344.52,4782.75,4847.05
2019/4/5,4847.09,5066.88,4839.03,4999.01
2019/4/7,5129.12,5174.36,5111.77,5142.94
2019/4/8,5129.12,5349.17,5111.77,5252.89
2019/4/9,5252.77,5311.4,5146.71,5220.08
2019/4/10,5220.08,5460.45,5158.58,5302.92
2019/4/11,5302.92,5342.98,4970.92,5054.03
2019/4/12,5054.03,5117.32,4913.32,5042.54
2019/4/14,5109.32,5109.63,5083,5089.29
2019/4/15,5109.32,5191.48,4948.63,5021.53
2019/4/16,5021.53,5229.42,5008.78,5185.02
2019/4/17,5185.02,5270.61,5175.53,5221.26
2019/4/18,5221.26,5314.31,5205.05,5308.57
2019/4/19,5308.45,5357.73,5196.66,5269.97
2019/4/21,5238.09,5272,5232.52,5239.36
2019/4/22,5238.09,5440.01,5232.52,5365.89
2019/4/23,5365.89,5642.73,5357.04,5580.07
2019/4/24,5580.1,5621.51,5375.16,5435.81
2019/4/25,5435.81,5510.16,5376.13,5495.18
2019/4/26,5495.18,5499.96,4983.75,5097.52
2019/4/28,5165.41,5171.4,5102.3,5129.43
2019/4/29,5165.41,5188.44,5074.93,5129.68
2019/4/30,5129.68,5287.5,5100.01,5237.87
2019/5/1,5237.87,5357.41,5236.8,5307.8
2019/5/2,5307.8,5421.01,5289.65,5405.46
2019/5/3,5405.59,5795.5,5366.37,5689.05
2019/5/5,5714.14,5767.57,5695.35,5767.57
2019/5/6,5714.14,5780.79,5565.98,5693.95
2019/5/7,5693.95,5966.77,5676.75,5844.63
2019/5/8,5844.63,5912.38,5665.28,5900.67
2019/5/9,5900.67,6096.6,5853.31,6080.72
